,High,Low,Open,Close,Volume,Adj Close,High(10),Low(10),Open(10 ),Close(10),High(100),Low(100),Open(100),Close(100)
High,1,,,,,,,,,,,,,
Low,0.999232561,1,,,,,,,,,,,,
Open,0.999523301,0.999280346,1,,,,,,,,,,,
Close,0.999397096,0.999504111,0.998785041,1,,,,,,,,,,
Volume,-0.104285867,-0.128843196,-0.112976544,-0.119184327,1,,,,,,,,,
Adj Close,0.999397096,0.999504111,0.998785041,1,-0.119184327,1,,,,,,,,
High after 10 days,0.810477262,0.810120762,0.810384854,0.81057635,-0.114962456,0.81057635,1,,,,,,,
Low after 10 days,0.808398876,0.808340451,0.808449191,0.808628977,-0.1184899,0.808628977,0.999339281,1,,,,,,
Open(10 days),0.809851247,0.809630784,0.809860775,0.810013103,-0.116762445,0.810013103,0.999590101,0.999381834,1,,,,,
Close 10days,0.809315992,0.809120416,0.809275302,0.809511098,-0.116904617,0.809511098,0.999482163,0.999573731,0.998957502,1,,,,
High(100),-0.131222307,-0.129516824,-0.128881629,-0.130817478,-0.01494804,-0.130817478,0.009056526,0.010057568,0.010409754,0.009799272,1,,,
Low(100),-0.131209332,-0.129484664,-0.128849317,-0.130810938,-0.014174119,-0.130810938,0.008937226,0.010001959,0.010318782,0.009720994,0.999725189,1,,
Open(100),-0.131710019,-0.130004189,-0.129374925,-0.131293033,-0.015202767,-0.131293033,0.008537206,0.009559594,0.009932814,0.009276508,0.999833914,0.999743408,1,
Close(100),-0.131189211,-0.12944954,-0.1288032,-0.130796624,-0.01449994,-0.130796624,0.008968369,0.010025505,0.010342838,0.00973375,0.999785153,0.999826151,0.999573988,1
